id,query_n,artist,song,genre,similarity
wVlUDLHzCYgdzzzS,query_1,Casting Crowns,Voice Of Truth,"['christian rock', 'worship', 'ccm', 'rock', 'christian music', 'gospel', 'praise', 'christian pop', 'pop rock', 'easy listening']",0.975796598198879
GvR3ihpANzPFUV9q,query_1,Ryan Star,We Might Fall,"['rock', 'alternative rock', 'singer songwriter', 'pop', 'indie rock', 'hard rock', 'acoustic rock']",0.9742895285744713
c4DLBBGbRiYTQ66j,query_1,Rob Cantor,Shia LaBeouf Live,"['rock', 'alternative rock', 'rap', 'indie rock', 'singer songwriter', 'comedy']",0.9728872655349697
ACQtPXv35XjD9CJY,query_1,Johnny Cash,Cocaine Blues,"['country', 'folk', 'singer songwriter', 'classic rock', 'rock', 'outlaw country', 'rockabilly', 'blues', 'traditional country', 'folk rock', 'country rock']",0.9727343930272008
zDqNW4zTvRb78Jnk,query_1,Luke Bryan,Light It Up,"['country', 'country pop', 'queercore', 'brutal death metal']",0.971515481213531
U4xTveG7s1KwuB1q,query_1,Luke Bryan,Fast,['country'],0.9708461851780393
GGiAIlRpnozeSkfe,query_1,Galantis,Dancin' to the Sound of a Broken Heart,['house'],0.9705927139102091
7IwsL07vNZbD79cP,query_1,Prince,Mary Don't You Weep (Piano & a Microphone 1983 Version),['gospel'],0.9703124078251282
bhTLRMfKnCUFzExH,query_1,David Bowie,The Man Who Sold the World,"['rock', 'classic rock', 'glam rock', 'pop', 'singer songwriter', 'progressive rock', 'alternative rock', 'psychedelic rock', 'hard rock', 'new wave', 'art rock', 'experimental', 'britpop', 'soundtrack', 'pop rock', 'rock and roll', 'noise', 'grunge', 'experimental rock', 'folk rock']",0.9702068134080244
0N5HaBTkWt5stsQa,query_1,Bezerra da Silva,Defunto Caguete,"['samba', 'mpb', 'bossa nova', 'singer songwriter', 'latin', 'carnaval', 'velha guarda']",0.9701588514094932
vQdf4tuaxtF73hKF,query_1,Kane Brown,Good as You,['country'],0.9690734527299816
Xx0S6ti9jtoamJhF,query_1,Sam Cooke,A Whole Lotta Woman,['soul'],0.9690067231794688
jbPhzvhwQYEYiy6F,query_1,WETTER,who,"['indie rock', 'k rock', 'k indie']",0.9689943072058667
7CzWEPXag7nOVCEQ,query_1,James Blunt,Someone Singing Along,['indie pop'],0.9686211915573056
nRdn5FeEE4PeEwKO,query_1,Frank Sinatra,(Love Is) The Tender Trap,"['jazz', 'swing', 'easy listening', 'big band']",0.968501100522414
g6jxj7UspbIluhtC,query_1,Scott Walker,Get Behind Me,"['singer songwriter', 'pop', 'rock', 'experimental', 'chamber pop']",0.9674483790662513
7SvyWNO8okpttyo8,query_1,The Roots,Walk Alone,"['hip hop', 'rap', 'soul', 'neo soul', 'alternative hip hop']",0.9670251832964799
8VJcjGnIB3EWBqZ6,query_1,Placebo,Bosco,"['alternative rock', 'piano rock', 'rock', 'glam rock']",0.9668501655943336
lhv9Us8P0eTO1omJ,query_1,Frank Zappa,You're Probably Wondering Why I'm Here,"['rock', 'classic rock', 'progressive rock', 'experimental', 'alternative rock', 'comedy', 'experimental rock', 'comedy rock', 'experimental pop', 'avant garde', 'art rock', 'psychedelic rock', 'singer songwriter']",0.9665076827902025
MbLM7xzXkIhFn61O,query_1,Legião Urbana,Eduardo E Monica,"['rock', 'brazilian rock', 'pop rock', 'rock nacional']",0.9662724241810138
DOyPVRIWXRof1KEk,query_1,Five Finger Death Punch,Battle Born,"['rock', 'alternative rock', 'hard rock', 'soft rock', 'alternative metal']",0.9659221991281493
QcicK0XeswBkK16t,query_1,Estopa,La Raja De Tu Falda,"['pop', 'rumba', 'rock', 'spanish pop', 'flamenco']",0.965906011075413
kVwgnTYbqaw0CeuU,query_1,Elliott Smith,Roman Candle,"['singer songwriter', 'folk', 'indie rock', 'lo fi', 'indie folk', 'rock', 'pop', 'indie pop', 'post rock', 'downtempo', 'post punk', 'folk rock', 'slowcore']",0.9656572892898577
F4c7Vtv1G4Hj8Irm,query_1,Lonestar,I'm Already There,"['country', 'pop', 'contemporary country', 'steel guitar', 'rock', 'ambient', 'easy listening', 'country rock', 'country pop', 'soul', 'singer songwriter', 'pop rock', 'synthesizer']",0.9655041483463653
1roBTq4qKloQ3rRO,query_1,Chico Buarque,O Meu Amor,"['mpb', 'bossa nova', 'samba']",0.9654797606146567
sGklBAYGwzLjdmqO,query_1,Poison,Every Rose Has Its Thorn,"['rock', 'hard rock', 'classic rock', 'glam rock', 'metal', 'glam metal', 'soft rock', 'pop', 'pop rock']",0.9653438216563958
b9G2PNb7goUk0T0o,query_1,BROCKHAMPTON,SAN MARCOS,"['hip hop', 'rap', 'experimental hip hop', 'alternative hip hop', 'emo rap']",0.9650432841395901
pc9XPONuDmTCwkCT,query_1,Alvaro Soler,Ella,"['latin', 'latin pop']",0.9642968486924716
WPqt0qwyo1VACRRq,query_1,Elvis Presley,Stuck on You,"['rock', 'rock and roll', 'classic rock', 'pop', 'rockabilly', 'soundtrack', 'easy listening', 'rhythm and blues', 'soul', 'blues', 'big band', 'blues rock', 'doo wop']",0.9635104074767492
buFmSypE8o4deuJk,query_1,Johnny Cash,Rock And Roll Shoes,['country'],0.9631573664547728
0grMbVfVNyrQ7wUY,query_1,Violent Femmes,I Hear The Rain,"['alternative rock', 'rock', 'folk rock', 'folk punk', 'folk', 'post punk', 'classic rock', 'country', 'punk', 'indie pop', 'indie rock']",0.9628861481385816
bP6E2LbSuZic82eE,query_1,Tom Zé,"Pecado, Rifa e Revista","['latin', 'tropicalia']",0.9628849549493464
M2qNEaAepP1mXRzR,query_1,a-ha,The Swing of Things,"['pop', 'new wave', 'rock', 'synthpop', 'classic rock', 'electronica', 'alternative rock']",0.9627397263733565
aJkXYdcQJhS7Lacy,query_1,Post Malone,Stay,"['country', 'folk']",0.9626422643839503
h2GfTUVGNRM9KB1h,query_1,Darius Rucker,If I Told You,['country'],0.9625649591068115
NUphviU5bhQa5i4n,query_1,Alcione,Você me vira a cabeça (Me tira do sério),['bossa nova'],0.9620068612244473
o1SceoMz7feJiiaG,query_1,Blake Shelton,Sure Be Cool If You Did,['country'],0.9615376457006936
AeKkHRHqBcGAKExX,query_1,The Beatles,Yes It Is,"['rock', 'classic rock', 'pop', 'british invasion', 'merseybeat', 'soul', 'hard rock', 'singer songwriter', 'pop rock', 'folk rock', 'britpop', 'sleep']",0.9610223067367373
kVJrgk5VyxX9Nprz,query_1,Jethro Tull,Cross Eyed Mary,"['progressive rock', 'classic rock', 'rock', 'art rock', 'symphonic rock', 'soundtrack', 'folk', 'hard rock', 'folk rock', 'psychedelic rock']",0.9609241284601072
v2ZXlsBXOkEOg7Nk,query_1,Chico Buarque,Flor da idade,"['mpb', 'poetry']",0.9607587294314186
FyNlxQF72bbnbmRI,query_1,Edwin Starr,25 Miles,"['soul', 'motown', 'northern soul', 'funk', 'rhythm and blues', 'pop', 'rock', 'r b', 'disco', 'alternative rock', 'easy listening', 'modern blues', 'classic soul']",0.9607546336217747
3KffbFSC5lLpboqR,query_1,Beirut,Mimizan,"['folk', 'rock', 'accordion', 'indie rock', 'singer songwriter']",0.960571440519818
WOWxCR8vLzQt33x5,query_1,The Beatles,Golden Slumbers - Remastered,"['rock', 'baroque pop']",0.9604799878419938
15CxeKsD9DvqCVhY,query_1,The Beatles,In My Life,"['classic rock', 'rock', 'pop', 'british invasion', 'folk rock', 'britpop', 'pop rock', 'singer songwriter', 'baroque pop', 'easy listening', 'soft rock', 'rock and roll']",0.9603230934888742
iglBkItdGVz3tOAG,query_1,The Beatles,Help! - Remastered 2009,"['classic rock', 'rock']",0.9598794391473311
vLV93B0O6u6YVaVT,query_1,Incubus,Warning,"['rock', 'alternative rock', 'indie rock', 'hard rock', 'metal', 'pop', 'grunge', 'funk', 'alternative metal', 'soul', 'emo', 'classic rock', 'electronica', 'jazz', 'experimental', 'post rock', 'dub', 'singer songwriter', 'pop rock', 'experimental rock', 'motown', 'funk metal', 'turntablism', 'art rock', 'pop punk']",0.959596019478506
SPJUhnuHgTksWAtd,query_1,The Kooks,Killing Me,"['rock', 'pop', 'indie rock', 'indie pop']",0.9595172488183515
ZhK2fvEMyTR7RLma,query_1,Deftones,Rosemary,"['alternative metal', 'alternative rock', 'post rock', 'shoegaze', 'metal', 'post metal', 'rock', 'emo', 'nu metal']",0.9594274895359065
JrNSpq1rg6d10IMW,query_1,Wilson Simonal,Carango,"['soul', 'world']",0.9587600826038596
9jO8VJ33qvYqzzJw,query_1,Westlife,You Light Up My Life,"['pop', 'britpop', 'boy band']",0.9586700336889804
